time,open,high,low,close,Volume,Volume MA,Up Trend,UpTrend Begins,Buy,Down Trend,DownTrend Begins,Sell,,WMA,%K,%D
2014-02-06T10:00:00+02:00,6457.8901,6566.0098,6457.8901,6558.2798,NaN,NaN,NaN,NaN,NaN,6676.056499479013,NaN,NaN,6510.01745,6646.709194588235,15.541122300708551,22.97263940341838
2014-02-07T10:00:00+02:00,6558.2798,6596.2798,6540.8101,6571.6802,NaN,NaN,NaN,NaN,NaN,6676.056499479013,NaN,NaN,6566.7624749999995,6644.258793725489,18.41986875990542,18.568185047391687
2014-02-10T10:00:00+02:00,6571.6802,6597,6565.2998,6591.5498,NaN,NaN,NaN,NaN,NaN,6676.056499479013,NaN,NaN,6581.38245,6642.638212470588,24.231816127731058,16.629081237379744
2014-02-11T10:00:00+02:00,6591.5498,6672.6602,6591.5498,6672.6602,NaN,NaN,NaN,NaN,NaN,6676.056499479013,NaN,NaN,6632.105,6644.243858980393,34.96082676814869,17.209152943526806
2014-02-12T10:00:00+02:00,6672.6602,6708.1699,6669.0601,6675.0298,NaN,NaN,NaN,NaN,NaN,6676.056499479013,NaN,NaN,6681.23,6645.928164313725,47.18392461253585,20.2547116355337
2014-02-13T10:00:00+02:00,6675.0298,6675.2402,6608.0898,6659.4199,NaN,NaN,NaN,NaN,NaN,6676.056499479013,NaN,NaN,6654.444925,6646.981132392158,57.55680859190464,25.047009305753058
2014-02-14T10:00:00+02:00,6659.4199,6672.21,6646.4702,6663.6201,NaN,NaN,NaN,NaN,NaN,6676.056499479013,NaN,NaN,6660.43005,6648.1485476862745,67.6232719736976,30.529741757636366
2014-02-17T10:00:00+02:00,6663.6201,6745.6299,6661.4702,6736,NaN,NaN,6504.232021217861,6504.232021217861,6504.232021217861,NaN,NaN,NaN,6701.68005,6652.051496392157,79.23542477203907,37.04372306978679
2014-02-18T10:00:00+02:00,6736,6802.8901,6716.6401,6796.4302,NaN,NaN,6554.5038740960745,NaN,NaN,NaN,NaN,NaN,6762.9901,6658.146978588235,86.72743966880577,44.36362912113144
2014-02-19T10:00:00+02:00,6796.4302,6810.48,6759.8599,6796.71,NaN,NaN,6585.248816686467,NaN,NaN,NaN,NaN,NaN,6790.870024999999,6664.019629333335,91.97799800451112,52.34585015799878
2014-02-20T10:00:00+02:00,6796.71,6812.9902,6732.0298,6812.9902,NaN,NaN,6585.248816686467,NaN,NaN,NaN,NaN,NaN,6788.68005,6670.338782196079,95.32334370224214,60.324072298152146
2014-02-21T10:00:00+02:00,6812.9902,6859.9102,6812.9902,6838.0601,NaN,NaN,6638.5787740160395,NaN,NaN,NaN,NaN,NaN,6830.987674999999,6677.442236862745,97.39442368580333,68.22152779074193
2014-02-24T10:00:00+02:00,6838.0601,6865.8599,6797.8301,6865.8599,NaN,NaN,6638.5787740160395,NaN,NaN,NaN,NaN,NaN,6841.9025,6685.389017019608,97.97998866001966,75.59634504397079
2014-02-25T10:00:00+02:00,6865.8599,6866.3501,6790.9302,6830.5,NaN,NaN,6638.5787740160395,NaN,NaN,NaN,NaN,NaN,6838.4100499999995,6691.668240549021,96.55917250538104,81.75617961769402
2014-02-26T10:00:00+02:00,6830.5,6834.0898,6785.2798,6799.1499,NaN,NaN,6638.5787740160395,NaN,NaN,NaN,NaN,NaN,6812.254875,6696.415891529412,93.1300464695132,86.35079180339176
2014-02-27T10:00:00+02:00,6799.1499,6819.2402,6733.54,6810.27,NaN,NaN,6638.5787740160395,NaN,NaN,NaN,NaN,NaN,6790.5500250000005,6701.317907294119,89.40441656647047,89.53555260084835
2014-02-28T10:00:00+02:00,6810.27,6833.8198,6785.54,6809.7002,NaN,NaN,6638.5787740160395,NaN,NaN,NaN,NaN,NaN,6809.8325,6705.971640862746,86.26746739227312,91.39997214270589
2014-03-03T10:00:00+02:00,6809.7002,6809.7002,6671.8901,6708.3501,NaN,NaN,6638.5787740160395,NaN,NaN,NaN,NaN,NaN,6749.91015,6706.397127137254,74.03175017208869,90.87960468271085
2014-03-04T10:00:00+02:00,6708.3501,6827.2202,6708.3501,6823.77,NaN,NaN,6638.5787740160395,NaN,NaN,NaN,NaN,NaN,6766.9226,6711.179260470588,72.4896728180287,89.45582799763315
2014-03-05T10:00:00+02:00,6823.77,6824.1602,6771.5,6775.4199,NaN,NaN,6638.5787740160395,NaN,NaN,NaN,NaN,NaN,6798.712525000001,6713.877805725491,68.34731304172735,87.09275950135478
2014-03-06T10:00:00+02:00,6775.4199,6806.6201,6770.9502,6788.4902,NaN,NaN,6638.5787740160395,NaN,NaN,NaN,NaN,NaN,6785.3701,6716.956488392156,64.4724023353692,84.00766536466747
2014-03-07T10:00:00+02:00,6788.4902,6800.6602,6706.3799,6712.6699,NaN,NaN,6638.5787740160395,NaN,NaN,NaN,NaN,NaN,6752.05005,6716.975645333334,52.78954728229864,79.547177724317
